sifrao,nazivo
03000000-1,"Poljoprivredni proizvodi, proizvodi poljoprivrednih gazdinstava, ribarstva, šumarstva i srodni proizvodi"
03100000-2,Poljoprivredni i hortikulturni proizvodi
03110000-5,"Usevi, baštovanski i hortikulturni proizvodi namenjeni tržištu"
03111000-2,Semenje
03111100-3,Soja u zrnu
03111200-4,Kikiriki
03111300-5,Seme suncokreta
03111400-6,Seme pamuka
03111500-7,Seme susama
03111600-8,Seme slaèice
03111700-9,Semenje povræa
03111800-0,Semenje voæa
03111900-1,Semenje cveæa
03112000-9,Nepreraðeni duvan
03113000-6,Biljke koje se koriste za proizvodnju šeæera
03113100-7,Šeæerna repa
03113200-8,Šeæerna trska
03114000-3,Slama i stoèna hrana (krmivo)
03114100-4,Slama
03114200-5,Stoèna hrana (krmivo)
03115000-0,Sirovi biljni materijal
03115100-1,Sirovi biljni materijali koji se koriste za proizvodnju tekstila
03115110-4,Pamuk
03115120-7,Juta
03115130-0,Lan
03116000-7,Prirodni kauèuk i lateks i prateæi proizvodi
03116100-8,Prirodni kauèuk
03116200-9,Prirodni lateks
03116300-0,Proizvodi od lateksa
03117000-4,Biljke koje se koriste za posebne namene
03117100-5,Biljke koje se koriste u proizvodnji parfema ili u farmaceutskoj industriji ili za insekticide i sliène svrhe
03117110-8,Biljke koje se koriste u proizvodnji parfema
03117120-1,Biljke koje se koriste u farmaceutskoj industriji
03117130-4,Biljke koje se koriste za insekticide
03117140-7,Biljke koje se koriste za fungicide ili sliène svrhe
03117200-6,Semenje biljaka koje se koriste za posebne namene
03120000-8,Hortikulturni proizvodi i proizvodi iz rasadnika
03121000-5,Hortikulturni proizvodi
03121100-6,"Žive biljke, lukovice, gomolji, korenje, reznice i kalemovi"
03121200-7,Rezano cveæe
03121210-0,Cvetni aranžmani
03130000-1,Biljke za pripremu sokova i zaèinsko bilje
03131000-8,Biljke za pripremu sokova
03131100-9,Kafa u zrnu
03131200-0,Èajni grmovi
03131300-1,Mate-èaj
03131400-2,Kakao u zrnu
03132000-5,Nepreraðeni zaèini
03140000-4,Proizvodi životinjskog porekla i srodni proizvodi
03141000-1,Sperma bikova
03142000-8,Proizvodi životinjskog porekla
03142100-9,Prirodni med
03142200-0,Puževi
03142300-1,Jestivi proizvodi životinjskog porekla
03142400-2,Voskovi
03142500-3,Jaja
03143000-5,Proizvodi mešovitih poljoprivrednih gazdinstava
03144000-2,Poljoprivredne potrepštine
03200000-3,"Žitarice, krompir, povræe, voæe i koštunjavo voæe"
03210000-6,Žitarice i krompir
03211000-3,Žitarice
03211100-4,Pšenica
03211110-7,Tvrda pšenica
03211120-0,Meka pšenica
03211200-5,Kukuruz
03211300-6,Pirinaè
03211400-7,Jeèam
03211500-8,Raž
03211600-9,Ovas
